,Test RMSE Rose,Test MAPE Rose
"ARIMA(2,1,3)",36.81634749426474,75.84583635258521
"ARIMA(2,1,2)",36.8711966230642,76.05621272520435
"SARIMA(3, 1, 1)(3, 0, 2, 12)",18.881428212560966,36.37439460579313
