,RMSE,MAPE
"ARIMA(2,1,2)",1299.980372953183,47.10001658999489
"ARIMA(0,1,0)",3864.2793518443914,201.32764950352743
"SARIMA(3,1,1)(3,0,2,12)",601.2443960941916,25.870720702982446
"SARIMA(0,1,0)(3,1,2,12)",1189.8357829699708,54.87253569306072
"SARIMA(0,1,0)(2,1,2,12)",1757.7268671724094,81.78523424489413
"SARIMA(0,1,0)(3,1,2,12)",1551.6462725948265,71.56619627019045
