,Test RMSE Rose,Test RMSE Sparkling
RegressionOnTime,15.268955197146555,1389.135174897992
NaiveModel,79.71877337417347,3864.2793518443914
SimpleAverageModel,53.460569646114436,1275.0818036965309
2pointTrailingMovingAverage,11.52927761935857,813.4006839972983
4pointTrailingMovingAverage,14.451403238286431,1156.589694081071
6pointTrailingMovingAverage,14.566327265691354,1283.9274280129855
9pointTrailingMovingAverage,14.727629822363193,1346.2783154241804
